お知らせ,100%になれば開発に送付します。（即採用されるわけではありません、ビルド遅れの対応もたまにあります。）基本アップデート前にマスターを支給してもらっているので早い段階で作業が終わっていれば採用されています。）,,,
lpsPlanetVessel,LoadScreen Pic Subtitle [lps],AI planet vessels can have devastating fire power,AI惑星船は壊滅的な火力を持つことができます,
lpsPortal,LoadScreen Pic Subtitle [lps],Portals connect you to hidden and mysterious worlds,ポータルはあなたを隠れた神秘の世界につなぎます,
lpsPrepareForNight,LoadScreen Pic Subtitle [lps],Be prepared for the night,夜に備える,
lpsRadiatedFog,LoadScreen Pic Subtitle [lps],Be sure to find shelter when radiated fog is appearing,放射性物質を含む霧に備えてシェルターを探しておこう。,
lpsRadiation,LoadScreen Pic Subtitle [lps],Radiation is merciless,放射線は無慈悲です,
lpsRadiation2,LoadScreen Pic Subtitle [lps],Radiated fog can be deadly,放射性物質を含む霧は無防備に浴び続ければ死に至る。,
lpsRain,LoadScreen Pic Subtitle [lps],The weather can change fast on temperate planets,温暖な惑星の気候は変わりやすいでしょう,
lpsRaptors,LoadScreen Pic Subtitle [lps],Raptors are fast and deadly predators,ラプトルは素早く驚異的な捕食者です,
lpsResourceAsteroids,LoadScreen Pic Subtitle [lps],Asteroids provide you with valuable resources,隕石はあなたに貴重な資源を提供します。,
lpsSpaceDrone,LoadScreen Pic Subtitle [lps],Be sure to loot the wreckage of space drones after destruction,破壊後のスペースドローンの残骸には貴重な部品が含まれます。,
lpsSpaceNebula,LoadScreen Pic Subtitle [lps],Space nebula can be of stunning beauty,星雲は素晴らしい美しさがあります,
lpsStrangePlants,LoadScreen Pic Subtitle [lps],Watch out for strange plants on lava planets,溶岩の惑星上に存在する奇妙な植物に注意してください,
lpsSurvivalConstructor,LoadScreen Pic Subtitle [lps],The oxygen generator is your life insurance,酸素発生器はあなたの生命線です,
lpsTemperatePlanetAtmo,LoadScreen Pic Subtitle [lps],Temperate planets often have a breathable atmosphere,温帯の惑星は、多くの場合、呼吸のできる大気を持っています,
lpsTradingStation,LoadScreen Pic Subtitle [lps],Trading stations are entertaining places,取引所は面白い場所です,
lpsTroopTransport,LoadScreen Pic Subtitle [lps],Alien troop transports can bring deadly reinforcement,エイリアン軍の増援はあなたを致命的な危機にさらす,
lpsTurretDrill,LoadScreen Pic Subtitle [lps],Use your turret drill for asteroid mining,turret drillは小惑星帯での採掘に役立つでしょう,
lpsUseSpotlights,LoadScreen Pic Subtitle [lps],Use spotlights to explore during night,夜の間に探索するためにはスポットライトを使用します。,
lpsWellEquipped,LoadScreen Pic Subtitle [lps],Be well equipped in your base,あなたの拠点をよりよく整備してください,
lpsWreckage,LoadScreen Pic Subtitle [lps],Wreckage POIs can help you to stay alive in the beginning,放棄されたPOI(Point of Interreting)はあなたへの最初の助けになります,
Barren,Map Window,Barren,不毛,
Current / Mean Temperature:,Map Window,Current / Mean Temperature:,現在/平均気温:,
Current Target,Map Window,Current Target,現在のターゲット,
Desert,Map Window,Desert,砂漠,
Difficulty,Map Window,Difficulty,困難,
Difficulty:,Map Window,Difficulty:,困難:,
Distance,Map Window,Distance,距離,
Gravity,Map Window,Gravity,重力,
Lava,Map Window,Lava,溶岩,
Length of Day:,Map Window,Length of Day:,日の長さ:,
Lock Target,Map Window,Lock Target,ターゲット・ロック,
Mode,Map Window,Mode,モード,
Mode:,Map Window,Mode:,モード:,
PvE,Map Window,PvE,PvE,
PvP,Map Window,PvP,PvP,
Resources,Map Window,RESOURCES,リソース,
Snow,Map Window,Snow,雪,
Space,Map Window,Space,スペース,
Temperate,Map Window,Temperate,テンプレート,
Type,Map Window,Type,タイプ,
mapAtmoDensity,Map Window [map],Atmosphere Density:,大気密度:,
mapAtmosphereO2,Map Window [map],O2 Content / Breathable:,酸素濃度 / 呼吸の可否:,
mapDescription,Map Window [map],DESCRIPTION,説明,
mapDistance,Map Window [map],Distance:,距離:\nの{0:F1} AU,
mapIcon,Map Window [map],Icon,マップ・アイコン,
mapLineOrange,Map Window [map],15 - 20 AU,15 - 20 AU,
mapLineRed,Map Window [map],20 - 25 AU,20 - 25 AU,
mapLineWormhole,Map Window [map],Wormhole,ワームホール,
mapLineYellow,Map Window [map],< 15 AU,< 15 AU,
mapMarkersHeader,Map Window [map],MAP MARKERS,マップ・マーカー,
mapO2ContentBreathable,Map Window [map],O2 Content / Breathable:,酸素濃度/呼吸の可否:,
mapOrbitInfoHeader,Map Window [map],ORBIT INFO,衛星の詳細,
mapPlanetInfoHeader,Map Window [map],PLANET INFO,惑星情報,
mapRadiation,Map Window [map],Radiation:,放射線防護:,
mapSectorListHeader,Map Window [map],SECTOR LIST,セクター一覧,
mapSectorMapTitle,Map Window [map],Sector Map,セクターマップ,
mapTempMinMax,Map Window [map],Temperature (Min/Max):,気温 (Min/Max):,
mapWeather,Map Window [map],Weather:,天候,
mpwMapTitle,Map Window [map],MAP,マップ,
mpwMarketplaceTitle,Marketplace Window [mpw],MARKETPLACE,マーケット,
mnuActions,Menu [mnu],Actions,行動,
mnuAmbientVolume,Menu [mnu],Ambient Volume,環境ボリューム,
mnuAmountofOre,Menu [mnu],Amount of Ore per Deposit:,鉱石の埋蔵量:,
mnuApply,Menu [mnu],Apply,適用,
mnuAspectRatioHint,Menu [mnu],(Only resolutions with native aspect ratio (marked with *) can be used for Fullscreen mode),(ネイティブのアスペクト比(*印のついたもの)の解像度のみフルスクリーンモードに使用することができます),
mnuAsteroids,Menu [mnu],Asteroids:,アステロイド:,
mnuBlockCount_b,Menu [mnu],Block Count:,ブロック数:,
mnuBloom,Menu [mnu],Bloom,Bloom,
mnuBlueprintProductionSpeed,Menu [mnu],Blueprint Production Speed:,設計図からの作成速度,
mnuBrightness,Menu [mnu],Brightness,輝度,
mnuCelcius,Menu [mnu],Celsius,摂氏,
mnuCharacterTextureResHalf,Menu [mnu],Half,半分,
mnuCharacterTextureResMax,Menu [mnu],Max,最高,
mnuCharacterTextureResolution,Menu [mnu],Character Texture Resolution,キャラクター解像度,
mnuCharacterTextureResQuarter,Menu [mnu],Quarter,4分の1,
mnuConstructorCraftSpeed,Menu [mnu],Constructor Craft Speed:,作成速度:,
mnuContent,Menu [mnu],Content,コンテンツ,
mnuContrast,Menu [mnu],Contrast,コントラスト,
mnuCustom,Menu [mnu],Custom,カスタム,
mnuDecoDistance,Menu [mnu],Deco Distance,詳細オブジェ表示距離,
mnuDecoDistanceFar,Menu [mnu],Far,遠い,
mnuDecoDistanceMedium,Menu [mnu],Medium,普通,
mnuDecoDistanceNear,Menu [mnu],Near,近い,
mnuDegredation,Menu [mnu],Degradation Speed:,劣化速度:,
mnuDeposits,Menu [mnu],Deposits:,鉱脈の種類:,
mnuDescription,Menu [mnu],Description,説明,
mnuDifficultyPreset,Menu [mnu],Difficulty Preset:,難易度の設定,
mnuDifficultySettings,Menu [mnu],Difficulty Settings:,難易度,
mnuDroneBaseAttack,Menu [mnu],Drone Base Attack:,ドローンの攻撃頻度,
mnuEAC,Menu [mnu],Start with EAC:,アンチチート機能:,
mnuEnemyDifficulty,Menu [mnu],Enemy Difficulty:,敵の強さ:,
mnuEscapePodContent,Menu [mnu],Start Equipment:,開始時の所持品設定:,
mnuFacebook,Menu [mnu],Facebook,Facebook,英語のままでOK
mnuFahrenheit,Menu [mnu],Fahrenheit,華氏,
mnuFOV,Menu [mnu],FOV,FOV,
mnuFramerate,Menu [mnu],Max Framerate,最大フレームレート,
mnuFullscreen,Menu [mnu],Fullscreen,全画面表示,
mnuFullscreenWindow,Menu [mnu],Fullscreen Window Mode,全画面ウィンドウモード,
mnuGameOptionsTitle,Menu [mnu],GAME OPTIONS,ゲームのオプション,
mnuGamma,Menu [mnu],Gamma,ガンマ,
mnuGrassDistance,Menu [mnu],Grass Distance,草地の描画距離,
mnuGrassDistanceFar,Menu [mnu],Far,遠く,
mnuGrassDistanceMedium,Menu [mnu],Medium,普通,
mnuGrassDistanceNear,Menu [mnu],Near,近い,
mnuHoverLabelEAC,Menu [mnu],This determines if Empyrion is started the next time with or without EAC protection (requires restart of Empyrion),次回起動時のEAC保護（アンチチート）の有無を決定します。（Empyrionを再起動する必要があります）,
mnuHoverLabelIngameHints,Menu [mnu],Here you can choose to have in-game hints in Survival mode enabled or disabled.,サバイバルモードでのゲーム内ヒントのOn/Offを選択します。,
mnuHoverLabelServerPort,Menu [mnu],This is the port if you are server in a multiplayer game.,マルチプレイヤーのサーバを立てる際のポート番号を設定します。,
mnuHoverLabelTempFormat,Menu [mnu],This determines if the temperature is shown in Celsius or Fahrenheit,温度を摂氏または華氏のどちらかで表示するかを決めます。,
mnuIntro Akua,Menu [mnu],"[c][d29818]Difficulty: Easy[-][/c]\nAkua is a temperate planet with vast oceans, volcanic islands and large continents with mountain ranges. It has a breathable atmosphere. The average temperature is 23°C and gravity amounts to 0.84g.",[c][d29818]Difficulty: Easy[-][/c]\nアクアは、大規模な大陸に広大な海洋火山島と山を持つ温帯の惑星であり、呼吸のできる大気を持っています。比重量と平均気温は0.84gに23℃です。,
mnuIntro Masperon,Menu [mnu],"[c][d29818]Difficulty: Hard[-][/c]\nMasperon is a very hostile but beautiful alien planet with mountain ranges, lakes and plains lying in the fog. The atmosphere is not breathable or at least no human ever tried it. However, oxygen can be generated from the water of the hidden lakes. Some resources can only be found in POIs. [c][e02020]Be warned, choosing this planet as the survival start is recommended for very experienced players only.[-][/c]",[c][d29818]Difficulty: Hard[-][/c]\nマスペロンは、霧の中にある山脈、湖、平野を持つ非常に敵対的で美しいエイリアンの惑星です。 雰囲気は通気性ではなく、少なくとも人間がそれを試みたことはありません。 しかし、隠された湖の水から酸素が発生する可能性があります。 いくつかのリソースはPOIでしか見つけられません。 [c] [e02020]生存開始としてこの惑星を選択することは非常に経験豊富な選手にのみ推奨されることに注意してください。.[-][/c],
mnuIntro Ningues,Menu [mnu],"[c][d29818]Difficulty: Medium[-][/c]\nNingues is an ice planet with steep mountains, large plains and hot springs. There is no breathable atmosphere but oxygen can be generated from the snow. [c][e02020]Be warned, choosing this planet as the survival start is recommended for experienced players only.[-][/c]",Ninguesは険しい山々、大平原や温泉を持つ氷の惑星です。そこには呼吸のできる大気はありませんが、酸素は雪から生成することができます。平均温度は-38℃で、比重量は0.54g。希少な鉱石エレストランはNinguesで見つけることができます。,
mnuIntro Omicron,Menu [mnu],"[c][d29818]Difficulty: Medium[-][/c]\nOmicron is a desert planet with mountain ranges, lakes, plains and rugged terrain. The atmosphere is relatively thin and non breathable. However, oxygen can be generated from the water of the lakes. [c][e02020]Be warned, choosing this planet as the survival start is recommended for experienced players only.[-][/c]",オミクロンは山と湖平原と険しい地形を持つ砂漠の惑星です。大気は比較的薄く、呼吸はできません。しかし、酸素は湖の水から生成することができます。比重量と平均気温は1.0gに32℃です。 \n[C] [e0e020]は警告:この惑星を選択しサバイバルをスタートすることは、経験豊富なプレイヤーへ推奨されています[-][/C]。,
mnuIntro Omicron Orbit,Menu [mnu],The space around the planet Omicron contains a small asteroid field and an abandoned research facility.,惑星オミクロンの周囲の空間には小さな小惑星帯と放棄された研究施設が含まれています。,
